Date,Shift ID,Shift No,Shift Type,ShiftStartHC,Shift Start,Expected First Entry,Lunch,Lunch End,Shift End,ShiftEndHC
11-Oct,10-11-Day,103,Day,0,10/11/2023 6:00,10/11/2023 6:45,10/11/2023 11:45,10/11/2023 12:30,10/11/2023 17:59,0
11-Oct,10-11-Night,104,Night,0,10/11/2023 18:00,10/11/2023 18:45,10/11/2023 23:45,10/12/2023 0:30,10/12/2023 5:59,0
12-Oct,10-12-Day,105,Day,0,10/12/2023 6:00,10/12/2023 6:45,10/12/2023 11:45,10/12/2023 12:30,10/12/2023 17:59,0
12-Oct,10-12-Night,106,Night,0,10/12/2023 18:00,10/12/2023 18:45,10/12/2023 23:45,10/13/2023 0:30,10/13/2023 5:59,0
13-Oct,10-13-Day,107,Day,0,10/13/2023 6:00,10/13/2023 6:45,10/13/2023 11:45,10/13/2023 12:30,10/13/2023 17:59,0
13-Oct,10-13-Night,108,Night,0,10/13/2023 18:00,10/13/2023 18:45,10/13/2023 23:45,10/14/2023 0:30,10/14/2023 5:59,0
14-Oct,10-14-Day,109,Day,0,10/14/2023 6:00,10/14/2023 6:45,10/14/2023 11:45,10/14/2023 12:30,10/14/2023 17:59,0
14-Oct,10-14-Night,110,Night,0,10/14/2023 18:00,10/14/2023 18:45,10/14/2023 23:45,10/15/2023 0:30,10/15/2023 5:59,0
15-Oct,10-15-Day,111,Day,0,10/15/2023 6:00,10/15/2023 6:45,10/15/2023 11:45,10/15/2023 12:30,10/15/2023 17:59,0
15-Oct,10-15-Night,112,Night,0,10/15/2023 18:00,10/15/2023 18:45,10/15/2023 23:45,10/16/2023 0:30,10/16/2023 5:59,0
